,Team,Pct.,Assists per Game,CTO per Game,Clears per Game,DCs per Game,Fouls per Game,FPS per Game,GBs per Game,Shots per Game,TO per Game,Yellow Cards per Game
51,Johns Hopkins,0.5,6.72,9.11,16.83,14.61,0,5.72,18.06,30.28,17.28,3.44
110,Vermont,0.5,4.5,12.44,16.25,12.25,19.75,4.63,18.19,27.69,16.31,2.13
115,William & Mary,0.5,3.81,8.0,15.81,11.75,22.38,3.88,15.88,26.19,16.5,3.31
15,Central Mich.,0.526,5.26,7.32,16.11,14.42,12.11,5.21,15.26,29.26,13.32,1.42
113,Virginia Tech,0.526,4.84,7.95,15.84,14.68,18.84,4.42,14.16,27.79,14.16,2.11
88,Robert Morris,0.526,4.74,7.05,15.16,13.37,21.37,4.89,15.42,28.84,13.47,1.53
92,Saint Joseph's,0.526,4.95,5.74,15.37,14.37,12.89,7.0,14.0,29.42,13.42,1.58
114,Wagner,0.529,4.88,9.24,18.41,11.18,17.35,5.71,16.82,26.53,17.41,1.18
69,Monmouth,0.529,6.06,8.76,17.0,14.06,23.59,5.88,17.35,29.65,17.65,2.41
43,Harvard,0.533,5.07,8.13,17.47,13.87,20.07,5.8,18.67,29.73,15.33,2.0
97,Stanford,0.556,8.06,6.94,14.0,16.5,21.72,7.17,16.44,31.0,13.44,2.28
38,Furman,0.556,6.56,7.67,15.44,15.0,18.11,4.28,15.39,29.56,15.78,2.11
32,East Carolina,0.556,4.17,6.06,14.33,11.61,6.28,6.06,14.72,25.67,12.17,1.5
85,Quinnipiac,0.556,4.72,9.17,16.78,10.83,23.83,6.33,18.44,26.72,15.67,2.17
53,Kent St.,0.556,4.39,6.0,14.44,14.67,15.78,3.22,18.44,28.17,17.78,1.78
48,Iona,0.562,5.19,7.81,14.69,14.5,19.56,6.75,15.44,30.25,17.88,2.0
106,UMBC,0.571,5.07,7.57,14.07,17.14,13.64,6.71,15.86,32.86,13.07,2.0
104,UC Davis,0.571,6.36,6.86,15.21,13.93,14.29,4.86,14.71,31.57,11.86,1.36
